posicao,movieId,title,score_previsto
1,50,"Usual Suspects, The (1995)",4.2180681228637695
2,1221,"Godfather: Part II, The (1974)",4.18673038482666
3,1104,"Streetcar Named Desire, A (1951)",4.1563520431518555
4,4011,Snatch (2000),4.1356964111328125
5,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.121504306793213
6,58559,"Dark Knight, The (2008)",4.119318962097168
7,1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),4.115262985229492
8,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),4.110444068908691
9,2324,Life Is Beautiful (La Vita è bella) (1997),4.095369815826416
10,1136,Monty Python and the Holy Grail (1975),4.084321022033691
