posicao,movieId,title,score_previsto
1,2797,Big (1988),3.6049790382385254
2,3753,"Patriot, The (2000)",3.579911470413208
3,4979,"Royal Tenenbaums, The (2001)",3.5735960006713867
4,2953,Home Alone 2: Lost in New York (1992),3.568423271179199
5,1760,Spice World (1997),3.56789493560791
6,8376,Napoleon Dynamite (2004),3.567291259765625
7,1265,Groundhog Day (1993),3.5646657943725586
8,8644,"I, Robot (2004)",3.562082529067993
9,54503,Superbad (2007),3.5564522743225098
10,34,Babe (1995),3.5544233322143555
